,Date,Price
0,1,34696230.145653464
1,1,34696230.145653464
2,1,34696230.145653464
3,1,34696230.145653464
4,1,34696230.145653464
5,1,34696230.145653464
6,1,34696230.145653464
7,1,34696230.145653464
8,1,34696230.145653464
9,1,34696230.145653464
10,1,34696230.145653464
11,1,34696230.145653464
12,1,34696230.145653464
13,1,34696230.145653464
14,1,34696230.145653464
15,2,34268747.11658868
16,2,34268747.11658868
17,2,34268747.11658868
18,2,34268747.11658868
19,2,34268747.11658868
20,2,34268747.11658868
21,2,34268747.11658868
22,2,34268747.11658868
23,2,34268747.11658868
24,2,34268747.11658868
25,2,34268747.11658868
26,3,33841264.08752389
27,3,33841264.08752389
28,3,33841264.08752389
29,3,33841264.08752389
30,3,33841264.08752389
31,3,33841264.08752389
32,3,33841264.08752389
33,3,33841264.08752389
34,3,33841264.08752389
35,3,33841264.08752389
36,4,33413781.058459107
37,4,33413781.058459107
38,4,33413781.058459107
39,4,33413781.058459107
40,5,32986298.02939432
41,5,32986298.02939432
42,5,32986298.02939432
43,6,32558815.00032953
44,6,32558815.00032953
45,6,32558815.00032953
46,7,32131331.971264746
47,7,32131331.971264746
48,7,32131331.971264746
49,7,32131331.971264746
50,7,32131331.971264746
51,7,32131331.971264746
52,7,32131331.971264746
53,7,32131331.971264746
54,21,26146569.56435773
